Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2020-09-03,2020,R,,alabama-birmingham,central-arkansas,H,45,35,0,,
2020-09-03,2020,R,,central-arkansas,alabama-birmingham,A,35,45,0,,
2020-09-03,2020,R,,south-alabama,southern-mississippi,A,32,21,0,,
2020-09-03,2020,R,,southern-mississippi,south-alabama,H,21,32,0,,
2020-09-05,2020,R,,army,middle-tennessee-state,H,42,0,0,,
2020-09-05,2020,R,,middle-tennessee-state,army,A,0,42,0,,
2020-09-05,2020,R,,marshall,eastern-kentucky,H,59,0,0,,
2020-09-05,2020,R,,eastern-kentucky,marshall,A,0,59,0,,
2020-09-05,2020,R,,memphis,arkansas-state,H,37,24,0,,
2020-09-05,2020,R,,arkansas-state,memphis,A,24,37,0,,
2020-09-05,2020,R,,north-texas,houston-baptist,H,57,31,0,,
2020-09-05,2020,R,,houston-baptist,north-texas,A,31,57,0,,
2020-09-05,2020,R,,southern-methodist,texas-state,A,31,24,0,,
2020-09-05,2020,R,,texas-state,southern-methodist,H,24,31,0,,
2020-09-05,2020,R,,texas-el-paso,stephen-f-austin,H,24,14,0,,
2020-09-05,2020,R,,stephen-f-austin,texas-el-paso,A,14,24,0,,
2020-09-07,2020,R,,brigham-young,navy,A,55,3,0,,
2020-09-07,2020,R,,navy,brigham-young,H,3,55,0,,
2020-09-10,2020,R,,miami-fl,alabama-birmingham,H,31,14,0,,
2020-09-10,2020,R,,alabama-birmingham,miami-fl,A,14,31,0,,
2020-09-12,2020,R,,appalachian-state,charlotte,H,35,20,0,,
2020-09-12,2020,R,,charlotte,appalachian-state,A,20,35,0,,
2020-09-12,2020,R,,arkansas-state,kansas-state,A,35,31,0,,
2020-09-12,2020,R,,kansas-state,arkansas-state,H,31,35,0,,
2020-09-12,2020,R,,army,louisiana-monroe,H,37,7,0,,
2020-09-12,2020,R,,louisiana-monroe,army,A,7,37,0,,
2020-09-12,2020,R,,clemson,wake-forest,A,37,13,0,1.0,
2020-09-12,2020,R,,wake-forest,clemson,H,13,37,0,,1.0
2020-09-12,2020,R,,coastal-carolina,kansas,A,38,23,0,,
2020-09-12,2020,R,,kansas,coastal-carolina,H,23,38,0,,
2020-09-12,2020,R,,georgia-southern,campbell,H,27,26,0,,
2020-09-12,2020,R,,campbell,georgia-southern,A,26,27,0,,
2020-09-12,2020,R,,georgia-tech,florida-state,A,16,13,0,,
2020-09-12,2020,R,,florida-state,georgia-tech,H,13,16,0,,
2020-09-12,2020,R,,louisiana,iowa-state,A,31,14,0,,23.0
2020-09-12,2020,R,,iowa-state,louisiana,H,14,31,0,23.0,
2020-09-12,2020,R,,louisville,western-kentucky,H,35,21,0,,
2020-09-12,2020,R,,western-kentucky,louisville,A,21,35,0,,
2020-09-12,2020,R,,north-carolina,syracuse,H,31,6,0,18.0,
2020-09-12,2020,R,,syracuse,north-carolina,A,6,31,0,,18.0
2020-09-12,2020,R,,notre-dame,duke,H,27,13,0,10.0,
2020-09-12,2020,R,,duke,notre-dame,A,13,27,0,,10.0
2020-09-12,2020,R,,oklahoma,missouri-state,H,48,0,0,5.0,
2020-09-12,2020,R,,missouri-state,oklahoma,A,0,48,0,,5.0
2020-09-12,2020,R,,pittsburgh,austin-peay,H,55,0,0,,
2020-09-12,2020,R,,austin-peay,pittsburgh,A,0,55,0,,
2020-09-12,2020,R,,south-florida,citadel,H,27,6,0,,
2020-09-12,2020,R,,citadel,south-florida,A,6,27,0,,
2020-09-12,2020,R,,texas,texas-el-paso,H,59,3,0,14.0,
2020-09-12,2020,R,,texas-el-paso,texas,A,3,59,0,,14.0
2020-09-12,2020,R,,texas-tech,houston-baptist,H,35,33,0,,
2020-09-12,2020,R,,houston-baptist,texas-tech,A,33,35,0,,
2020-09-12,2020,R,,texas-san-antonio,texas-state,A,51,48,0,,
2020-09-12,2020,R,,texas-state,texas-san-antonio,H,48,51,0,,
2020-09-12,2020,R,,tulane,south-alabama,A,27,24,0,,
2020-09-12,2020,R,,south-alabama,tulane,H,24,27,0,,
