Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2024-08-24,2024,R,,georgia-tech,florida-state,N,24,21,0,,10.0
2024-08-24,2024,R,,florida-state,georgia-tech,N,21,24,0,10.0,
2024-08-24,2024,R,,montana-state,new-mexico,A,35,31,0,,
2024-08-24,2024,R,,new-mexico,montana-state,H,31,35,0,,
2024-08-24,2024,R,,southern-methodist,nevada,A,29,24,0,,
2024-08-24,2024,R,,nevada,southern-methodist,H,24,29,0,,
2024-08-25,2024,R,,hawaii,delaware-state,H,35,14,0,,
2024-08-25,2024,R,,delaware-state,hawaii,A,14,35,0,,
2024-08-29,2024,R,,alabama-birmingham,alcorn-state,H,41,3,0,,
2024-08-29,2024,R,,alcorn-state,alabama-birmingham,A,3,41,0,,
2024-08-29,2024,R,,arkansas,arkansas-pine-bluff,H,70,0,0,,
2024-08-29,2024,R,,arkansas-pine-bluff,arkansas,A,0,70,0,,
2024-08-29,2024,R,,bowling-green,fordham,H,41,17,0,,
2024-08-29,2024,R,,fordham,bowling-green,A,17,41,0,,
2024-08-29,2024,R,,buffalo,lafayette,H,30,13,0,,
2024-08-29,2024,R,,lafayette,buffalo,A,13,30,0,,
2024-08-29,2024,R,,central-florida,new-hampshire,H,57,3,0,,
2024-08-29,2024,R,,new-hampshire,central-florida,A,3,57,0,,
2024-08-29,2024,R,,central-michigan,central-connecticut-state,H,66,10,0,,
2024-08-29,2024,R,,central-connecticut-state,central-michigan,A,10,66,0,,
2024-08-29,2024,R,,coastal-carolina,jacksonville-state,A,55,27,0,,
2024-08-29,2024,R,,jacksonville-state,coastal-carolina,H,27,55,0,,
2024-08-29,2024,R,,colorado,north-dakota-state,H,31,26,0,,
2024-08-29,2024,R,,north-dakota-state,colorado,A,26,31,0,,
2024-08-29,2024,R,,illinois,eastern-illinois,H,45,0,0,,
2024-08-29,2024,R,,eastern-illinois,illinois,A,0,45,0,,
2024-08-29,2024,R,,kansas,lindenwood,H,48,3,0,22.0,
2024-08-29,2024,R,,lindenwood,kansas,A,3,48,0,,22.0
2024-08-29,2024,R,,louisiana-monroe,jackson-state,H,30,14,0,,
2024-08-29,2024,R,,jackson-state,louisiana-monroe,A,14,30,0,,
2024-08-29,2024,R,,missouri,murray-state,H,51,0,0,11.0,
2024-08-29,2024,R,,murray-state,missouri,A,0,51,0,,11.0
2024-08-29,2024,R,,north-carolina,minnesota,A,19,17,0,,
2024-08-29,2024,R,,minnesota,north-carolina,H,17,19,0,,
2024-08-29,2024,R,,north-carolina-state,western-carolina,H,38,21,0,24.0,
2024-08-29,2024,R,,western-carolina,north-carolina-state,A,21,38,0,,24.0
2024-08-29,2024,R,,rutgers,howard,H,44,7,0,,
2024-08-29,2024,R,,howard,rutgers,A,7,44,0,,
2024-08-29,2024,R,,san-jose-state,sacramento-state,H,42,24,0,,
2024-08-29,2024,R,,sacramento-state,san-jose-state,A,24,42,0,,
2024-08-29,2024,R,,toledo,duquesne,H,49,10,0,,
2024-08-29,2024,R,,duquesne,toledo,A,10,49,0,,
2024-08-29,2024,R,,tulane,southeastern-louisiana,H,52,0,0,,
2024-08-29,2024,R,,southeastern-louisiana,tulane,A,0,52,0,,
2024-08-29,2024,R,,tulsa,northwestern-state,H,62,28,0,,
2024-08-29,2024,R,,northwestern-state,tulsa,A,28,62,0,,
2024-08-29,2024,R,,utah,southern-utah,H,49,0,0,12.0,
2024-08-29,2024,R,,southern-utah,utah,A,0,49,0,,12.0
2024-08-29,2024,R,,wake-forest,north-carolina-a-t,H,45,13,0,,
2024-08-29,2024,R,,north-carolina-a-t,wake-forest,A,13,45,0,,
2024-08-30,2024,R,,army,lehigh,H,42,7,0,,
2024-08-30,2024,R,,lehigh,army,A,7,42,0,,
2024-08-30,2024,R,,duke,elon,H,26,3,0,,
2024-08-30,2024,R,,elon,duke,A,3,26,0,,
2024-08-30,2024,R,,michigan-state,florida-atlantic,H,16,10,0,,
2024-08-30,2024,R,,florida-atlantic,michigan-state,A,10,16,0,,
2024-08-30,2024,R,,oklahoma,temple,H,51,3,0,16.0,
2024-08-30,2024,R,,temple,oklahoma,A,3,51,0,,16.0
2024-08-30,2024,R,,texas-christian,stanford,A,34,27,0,,
2024-08-30,2024,R,,stanford,texas-christian,H,27,34,0,,
2024-08-30,2024,R,,wisconsin,western-michigan,H,28,14,0,,
2024-08-30,2024,R,,western-michigan,wisconsin,A,14,28,0,,
2024-08-31,2024,R,,air-force,merrimack,H,21,6,0,,
2024-08-31,2024,R,,merrimack,air-force,A,6,21,0,,
2024-08-31,2024,R,,alabama,western-kentucky,H,63,0,0,5.0,
2024-08-31,2024,R,,western-kentucky,alabama,A,0,63,0,,5.0
