Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
1998-08-29,1998,R,,colorado-state,michigan-state,A,23,16,0,15.0,23.0
1998-08-29,1998,R,,michigan-state,colorado-state,H,16,23,0,23.0,15.0
1998-08-29,1998,R,,nebraska,louisiana-tech,H,56,27,0,4.0,
1998-08-29,1998,R,,louisiana-tech,nebraska,A,27,56,0,,4.0
1998-08-30,1998,R,,southern-california,purdue,H,27,17,0,,
1998-08-30,1998,R,,purdue,southern-california,A,17,27,0,,
1998-08-31,1998,R,,florida-state,texas-a-m,N,23,14,0,2.0,14.0
1998-08-31,1998,R,,texas-a-m,florida-state,N,14,23,0,14.0,2.0
1998-09-03,1998,R,,arizona,hawaii,A,27,6,0,24.0,
1998-09-03,1998,R,,hawaii,arizona,H,6,27,0,,24.0
1998-09-03,1998,R,,north-carolina-state,ohio,H,34,31,0,,
1998-09-03,1998,R,,ohio,north-carolina-state,A,31,34,0,,
1998-09-03,1998,R,,northern-iowa,eastern-michigan,A,13,10,0,,
1998-09-03,1998,R,,eastern-michigan,northern-iowa,H,10,13,0,,
1998-09-03,1998,R,,virginia,auburn,A,19,0,0,16.0,25.0
1998-09-03,1998,R,,auburn,virginia,H,0,19,0,25.0,16.0
1998-09-03,1998,R,,western-michigan,northern-illinois,H,37,23,0,,
1998-09-03,1998,R,,northern-illinois,western-michigan,A,23,37,0,,
1998-09-05,1998,R,,air-force,wake-forest,H,42,0,0,,
1998-09-05,1998,R,,wake-forest,air-force,A,0,42,0,,
1998-09-05,1998,R,,alabama,brigham-young,H,38,31,0,,
1998-09-05,1998,R,,brigham-young,alabama,A,31,38,0,,
1998-09-05,1998,R,,arkansas,louisiana,H,38,17,0,,
1998-09-05,1998,R,,louisiana,arkansas,A,17,38,0,,
1998-09-05,1998,R,,boise-state,cal-state-northridge,H,26,13,0,,
1998-09-05,1998,R,,cal-state-northridge,boise-state,A,13,26,0,,
1998-09-05,1998,R,,boston-college,georgia-tech,A,41,31,0,,
1998-09-05,1998,R,,georgia-tech,boston-college,H,31,41,0,,
1998-09-05,1998,R,,california,houston,H,14,10,0,,
1998-09-05,1998,R,,houston,california,A,10,14,0,,
1998-09-05,1998,R,,central-florida,louisiana-tech,A,64,30,0,,
1998-09-05,1998,R,,louisiana-tech,central-florida,H,30,64,0,,
