Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2019-08-24,2019,R,,florida,miami-fl,N,24,20,0,8.0,,Camping World Stadium - Orlando Florida
2019-08-24,2019,R,,miami-fl,florida,N,20,24,0,,8.0,Camping World Stadium - Orlando Florida
2019-08-24,2019,R,,hawaii,arizona,H,45,38,0,,,Aloha Stadium - Honolulu Hawaii
2019-08-24,2019,R,,arizona,hawaii,A,38,45,0,,,Aloha Stadium - Honolulu Hawaii
2019-08-29,2019,R,,alabama-birmingham,alabama-state,H,24,19,0,,,Legion Field - Birmingham Alabama
2019-08-29,2019,R,,alabama-state,alabama-birmingham,A,19,24,0,,,Legion Field - Birmingham Alabama
2019-08-29,2019,R,,arizona-state,kent-state,H,30,7,0,,,Sun Devil Stadium - Tempe Arizona
2019-08-29,2019,R,,kent-state,arizona-state,A,7,30,0,,,Sun Devil Stadium - Tempe Arizona
2019-08-29,2019,R,,bowling-green,morgan-state,H,46,3,0,,,Doyt Perry Stadium - Bowling Green Ohio
2019-08-29,2019,R,,morgan-state,bowling-green,A,3,46,0,,,Doyt Perry Stadium - Bowling Green Ohio
2019-08-29,2019,R,,buffalo,robert-morris,H,38,10,0,,,UB Stadium - Buffalo New York
2019-08-29,2019,R,,robert-morris,buffalo,A,10,38,0,,,UB Stadium - Buffalo New York
2019-08-29,2019,R,,central-arkansas,western-kentucky,A,35,28,0,,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
2019-08-29,2019,R,,western-kentucky,central-arkansas,H,28,35,0,,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
2019-08-29,2019,R,,central-florida,florida-a-m,H,62,0,0,17.0,,Spectrum Stadium - Orlando Florida
2019-08-29,2019,R,,florida-a-m,central-florida,A,0,62,0,,17.0,Spectrum Stadium - Orlando Florida
2019-08-29,2019,R,,central-michigan,albany,H,38,21,0,,,Kelly/Shorts Stadium - Mount Pleasant Michigan
