Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2026-08-29,2026,R,,eastern-michigan,sacramento-state,H,28.0,17.0,0,,,
2026-08-29,2026,R,,sacramento-state,eastern-michigan,A,17.0,28.0,0,,,
2026-08-29,2026,R,,florida-state,new-mexico-state,H,34.0,17.0,0,,,
2026-08-29,2026,R,,new-mexico-state,florida-state,A,17.0,34.0,0,,,
2026-08-29,2026,R,,memphis,nevada-las-vegas,A,27.0,21.0,0,,,
2026-08-29,2026,R,,nevada-las-vegas,memphis,H,21.0,27.0,0,,,
2026-08-29,2026,R,,north-carolina,texas-christian,N,15.0,10.0,0,,,
2026-08-29,2026,R,,texas-christian,north-carolina,N,10.0,15.0,0,,,
2026-08-29,2026,R,,north-dakota-state,jacksonville-state,H,33.0,7.0,0,,,
2026-08-29,2026,R,,jacksonville-state,north-dakota-state,A,7.0,33.0,0,,,
2026-08-29,2026,R,,southern-california,san-jose-state,H,42.0,26.0,0,14.0,,
2026-08-29,2026,R,,san-jose-state,southern-california,A,26.0,42.0,0,,14.0,
2026-08-29,2026,R,,stanford,hawaii,H,37.0,27.0,0,,,
2026-08-29,2026,R,,hawaii,stanford,A,27.0,37.0,0,,,
2026-08-29,2026,R,,virginia,north-carolina-state,H,34.0,8.0,0,,,
2026-08-29,2026,R,,north-carolina-state,virginia,A,8.0,34.0,0,,,
2026-09-03,2026,R,,buffalo,albany,H,21.0,17.0,0,,,
2026-09-03,2026,R,,albany,buffalo,A,17.0,21.0,0,,,
2026-09-03,2026,R,,central-florida,bethune-cookman,H,73.0,6.0,0,,,
2026-09-03,2026,R,,bethune-cookman,central-florida,A,6.0,73.0,0,,,
2026-09-03,2026,R,,colorado,georgia-tech,A,14.0,13.0,0,,,
2026-09-03,2026,R,,georgia-tech,colorado,H,13.0,14.0,0,,,
2026-09-03,2026,R,,delaware,merrimack,H,42.0,7.0,0,,,
2026-09-03,2026,R,,merrimack,delaware,A,7.0,42.0,0,,,
2026-09-03,2026,R,,illinois,alabama-birmingham,H,42.0,23.0,0,,,
2026-09-03,2026,R,,alabama-birmingham,illinois,A,23.0,42.0,0,,,
2026-09-03,2026,R,,kennesaw-state,west-georgia,H,47.0,0.0,0,,,
2026-09-03,2026,R,,west-georgia,kennesaw-state,A,0.0,47.0,0,,,
2026-09-03,2026,R,,massachusetts,rutgers,A,37.0,21.0,0,,,
2026-09-03,2026,R,,rutgers,massachusetts,H,21.0,37.0,0,,,
2026-09-03,2026,R,,minnesota,eastern-illinois,H,59.0,7.0,0,,,
2026-09-03,2026,R,,eastern-illinois,minnesota,A,7.0,59.0,0,,,
2026-09-03,2026,R,,missouri,arkansas-pine-bluff,H,54.0,14.0,0,25.0,,
2026-09-03,2026,R,,arkansas-pine-bluff,missouri,A,14.0,54.0,0,,25.0,
2026-09-03,2026,R,,utah,idaho,H,66.0,14.0,0,21.0,,
2026-09-03,2026,R,,idaho,utah,A,14.0,66.0,0,,21.0,
2026-09-03,2026,R,,wake-forest,akron,H,38.0,16.0,0,,,
2026-09-03,2026,R,,akron,wake-forest,A,16.0,38.0,0,,,
2026-09-04,2026,R,,georgia-state,north-carolina-a-t,H,59.0,10.0,0,,,
2026-09-04,2026,R,,north-carolina-a-t,georgia-state,A,10.0,59.0,0,,,
2026-09-04,2026,R,,kansas,long-island,H,51.0,6.0,0,,,
2026-09-04,2026,R,,long-island,kansas,A,6.0,51.0,0,,,
2026-09-04,2026,R,,miami-fl,stanford,A,45.0,6.0,0,7.0,,
2026-09-04,2026,R,,stanford,miami-fl,H,6.0,45.0,0,,7.0,
2026-09-04,2026,R,,michigan-state,toledo,H,30.0,20.0,0,,,
2026-09-04,2026,R,,toledo,michigan-state,A,20.0,30.0,0,,,
2026-09-04,2026,R,,oklahoma,texas-el-paso,H,51.0,0.0,0,10.0,,
2026-09-04,2026,R,,texas-el-paso,oklahoma,A,0.0,51.0,0,,10.0,
2026-09-04,2026,R,,purdue,indiana-state,H,44.0,19.0,0,,,
2026-09-04,2026,R,,indiana-state,purdue,A,19.0,44.0,0,,,
2026-09-04,2026,R,,san-jose-state,eastern-michigan,A,27.0,21.0,0,,,
2026-09-04,2026,R,,eastern-michigan,san-jose-state,H,21.0,27.0,0,,,
2026-09-04,2026,R,,southern-california,fresno-state,H,39.0,0.0,0,14.0,,
2026-09-04,2026,R,,fresno-state,southern-california,A,0.0,39.0,0,,14.0,
2026-09-05,2026,R,,air-force,duquesne,H,34.0,0.0,0,,,
2026-09-05,2026,R,,duquesne,air-force,A,0.0,34.0,0,,,
2026-09-05,2026,R,,alabama,east-carolina,H,48.0,10.0,0,13.0,,
2026-09-05,2026,R,,east-carolina,alabama,A,10.0,48.0,0,,13.0,
2026-09-05,2026,R,,appalachian-state,maine,H,55.0,3.0,0,,,
2026-09-05,2026,R,,maine,appalachian-state,A,3.0,55.0,0,,,
2026-09-05,2026,R,,arizona,northern-arizona,H,35.0,7.0,0,,,
2026-09-05,2026,R,,northern-arizona,arizona,A,7.0,35.0,0,,,
2026-09-05,2026,R,,arizona-state,morgan-state,H,70.0,7.0,0,,,
2026-09-05,2026,R,,morgan-state,arizona-state,A,7.0,70.0,0,,,
2026-09-05,2026,R,,arkansas,north-alabama,H,31.0,14.0,0,,,
2026-09-05,2026,R,,north-alabama,arkansas,A,14.0,31.0,0,,,
2026-09-05,2026,R,,army,bryant,H,59.0,3.0,0,,,
2026-09-05,2026,R,,bryant,army,A,3.0,59.0,0,,,
2026-09-05,2026,R,,auburn,baylor,N,17.0,16.0,0,,,
2026-09-05,2026,R,,baylor,auburn,N,16.0,17.0,0,,,
2026-09-05,2026,R,,brigham-young,utah-tech,H,63.0,7.0,0,14.0,,
2026-09-05,2026,R,,utah-tech,brigham-young,A,7.0,63.0,0,,14.0,
2026-09-05,2026,R,,cincinnati,boston-college,H,34.0,15.0,0,,,
2026-09-05,2026,R,,boston-college,cincinnati,A,15.0,34.0,0,,,
2026-09-05,2026,R,,citadel,charlotte,A,43.0,41.0,0,,,
2026-09-05,2026,R,,charlotte,citadel,H,41.0,43.0,0,,,
2026-09-05,2026,R,,colorado-state,wyoming,H,35.0,13.0,0,,,
2026-09-05,2026,R,,wyoming,colorado-state,A,13.0,35.0,0,,,
2026-09-05,2026,R,,connecticut,lafayette,H,56.0,7.0,0,,,
2026-09-05,2026,R,,lafayette,connecticut,A,7.0,56.0,0,,,
2026-09-05,2026,R,,duke,tulane,H,17.0,3.0,0,,,
2026-09-05,2026,R,,tulane,duke,A,3.0,17.0,0,,,
2026-09-05,2026,R,,florida,florida-atlantic,H,66.0,21.0,0,,,
2026-09-05,2026,R,,florida-atlantic,florida,A,21.0,66.0,0,,,
2026-09-05,2026,R,,georgia,tennessee-state,H,63.0,3.0,0,3.0,,
2026-09-05,2026,R,,tennessee-state,georgia,A,3.0,63.0,0,,3.0,
2026-09-05,2026,R,,georgia-southern,charleston-southern,H,31.0,0.0,0,,,
2026-09-05,2026,R,,charleston-southern,georgia-southern,A,0.0,31.0,0,,,
2026-09-05,2026,R,,houston,oregon-state,H,33.0,20.0,0,23.0,,
2026-09-05,2026,R,,oregon-state,houston,A,20.0,33.0,0,,23.0,
2026-09-05,2026,R,,idaho-state,utah-state,A,29.0,17.0,0,,,
2026-09-05,2026,R,,utah-state,idaho-state,H,17.0,29.0,0,,,
2026-09-05,2026,R,,indiana,north-texas,H,52.0,16.0,0,6.0,,
2026-09-05,2026,R,,north-texas,indiana,A,16.0,52.0,0,,6.0,
2026-09-05,2026,R,,iowa,northern-illinois,H,40.0,0.0,0,22.0,,
2026-09-05,2026,R,,northern-illinois,iowa,A,0.0,40.0,0,,22.0,
2026-09-05,2026,R,,iowa-state,southeast-missouri-state,H,38.0,10.0,0,,,
2026-09-05,2026,R,,southeast-missouri-state,iowa-state,A,10.0,38.0,0,,,
2026-09-05,2026,R,,jacksonville-state,eastern-kentucky,H,49.0,7.0,0,,,
2026-09-05,2026,R,,eastern-kentucky,jacksonville-state,A,7.0,49.0,0,,,
2026-09-05,2026,R,,james-madison,liberty,H,20.0,13.0,0,,,
2026-09-05,2026,R,,liberty,james-madison,A,13.0,20.0,0,,,
2026-09-05,2026,R,,kansas-state,nicholls-state,H,71.0,3.0,0,,,
2026-09-05,2026,R,,nicholls-state,kansas-state,A,3.0,71.0,0,,,
2026-09-05,2026,R,,kentucky,youngstown-state,H,45.0,13.0,0,,,
2026-09-05,2026,R,,youngstown-state,kentucky,A,13.0,45.0,0,,,
2026-09-05,2026,R,,louisiana,lamar,H,38.0,7.0,0,,,
2026-09-05,2026,R,,lamar,louisiana,A,7.0,38.0,0,,,
2026-09-05,2026,R,,louisiana-state,clemson,H,51.0,10.0,0,11.0,,
2026-09-05,2026,R,,clemson,louisiana-state,A,10.0,51.0,0,,11.0,
2026-09-05,2026,R,,louisiana-tech,northwestern-state,H,80.0,6.0,0,,,
2026-09-05,2026,R,,northwestern-state,louisiana-tech,A,6.0,80.0,0,,,
2026-09-05,2026,R,,maryland,hampton,H,62.0,0.0,0,,,
2026-09-05,2026,R,,hampton,maryland,A,0.0,62.0,0,,,
2026-09-05,2026,R,,memphis,arkansas-state,H,42.0,24.0,0,,,
2026-09-05,2026,R,,arkansas-state,memphis,A,24.0,42.0,0,,,
2026-09-05,2026,R,,michigan,western-michigan,H,13.0,12.0,0,16.0,,
2026-09-05,2026,R,,western-michigan,michigan,A,12.0,13.0,0,,16.0,
2026-09-05,2026,R,,middle-tennessee-state,murray-state,H,38.0,14.0,0,,,
2026-09-05,2026,R,,murray-state,middle-tennessee-state,A,14.0,38.0,0,,,
2026-09-05,2026,R,,mississippi-state,louisiana-monroe,H,62.0,13.0,0,,,
2026-09-05,2026,R,,louisiana-monroe,mississippi-state,A,13.0,62.0,0,,,
2026-09-05,2026,R,,navy,towson,H,42.0,15.0,0,,,
