Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2009-09-03,2009,R,,boise-state,oregon,H,19,8,0,14.0,16.0,
2009-09-03,2009,R,,oregon,boise-state,A,8,19,0,16.0,14.0,
2009-09-03,2009,R,,bowling-green,troy,H,31,14,0,,,
2009-09-03,2009,R,,troy,bowling-green,A,14,31,0,,,
2009-09-03,2009,R,,indiana,eastern-kentucky,H,19,13,0,,,
2009-09-03,2009,R,,eastern-kentucky,indiana,A,13,19,0,,,
2009-09-03,2009,R,,iowa-state,north-dakota-state,H,34,17,0,,,
2009-09-03,2009,R,,north-dakota-state,iowa-state,A,17,34,0,,,
2009-09-03,2009,R,,kent-state,coastal-carolina,H,18,0,0,,,
2009-09-03,2009,R,,coastal-carolina,kent-state,A,0,18,0,,,
2009-09-03,2009,R,,north-texas,ball-state,A,20,10,0,,,
2009-09-03,2009,R,,ball-state,north-texas,H,10,20,0,,,
2009-09-03,2009,R,,south-carolina,north-carolina-state,A,7,3,0,,,
2009-09-03,2009,R,,north-carolina-state,south-carolina,H,3,7,0,,,
2009-09-03,2009,R,,utah,utah-state,H,35,17,0,19.0,,
2009-09-03,2009,R,,utah-state,utah,A,17,35,0,,19.0,
2009-09-03,2009,R,,villanova,temple,A,27,24,0,,,
2009-09-03,2009,R,,temple,villanova,H,24,27,0,,,
2009-09-04,2009,R,,hawaii,central-arkansas,H,25,20,0,,,
2009-09-04,2009,R,,central-arkansas,hawaii,A,20,25,0,,,
2009-09-04,2009,R,,tulsa,tulane,A,37,13,0,,,
2009-09-04,2009,R,,tulane,tulsa,H,13,37,0,,,
2009-09-05,2009,R,,air-force,nicholls-state,H,72,0,0,,,
2009-09-05,2009,R,,nicholls-state,air-force,A,0,72,0,,,
2009-09-05,2009,R,,alabama,virginia-tech,N,34,24,0,5.0,7.0,
2009-09-05,2009,R,,virginia-tech,alabama,N,24,34,0,7.0,5.0,
2009-09-05,2009,R,,alabama-birmingham,rice,H,44,24,0,,,
2009-09-05,2009,R,,rice,alabama-birmingham,A,24,44,0,,,
2009-09-05,2009,R,,arizona,central-michigan,H,19,6,0,,,
