Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
1996-08-24,1996,R,,brigham-young,texas-a-m,H,41,37,0,,13.0,
1996-08-24,1996,R,,texas-a-m,brigham-young,A,37,41,0,13.0,,
1996-08-25,1996,R,,penn-state,southern-california,N,24,7,0,11.0,7.0,
1996-08-25,1996,R,,southern-california,penn-state,N,7,24,0,7.0,11.0,
1996-08-29,1996,R,,central-florida,william-mary,H,39,33,0,,,
1996-08-29,1996,R,,william-mary,central-florida,A,33,39,0,,,
1996-08-29,1996,R,,eastern-illinois,western-michigan,A,28,20,0,,,
1996-08-29,1996,R,,western-michigan,eastern-illinois,H,20,28,0,,,
1996-08-29,1996,R,,kansas,ball-state,H,35,10,0,25.0,,
1996-08-29,1996,R,,ball-state,kansas,A,10,35,0,,25.0,
1996-08-29,1996,R,,louisiana-monroe,nicholls-state,H,14,12,0,,,
1996-08-29,1996,R,,nicholls-state,louisiana-monroe,A,12,14,0,,,
1996-08-29,1996,R,,new-mexico,new-mexico-state,A,28,7,0,,,
1996-08-29,1996,R,,new-mexico-state,new-mexico,H,7,28,0,,,
1996-08-29,1996,R,,ohio,akron,H,44,14,0,,,
1996-08-29,1996,R,,akron,ohio,A,14,44,0,,,
1996-08-29,1996,R,,wake-forest,appalachian-state,H,19,13,0,,,
1996-08-29,1996,R,,appalachian-state,wake-forest,A,13,19,0,,,
1996-08-30,1996,R,,tulane,cincinnati,A,34,14,0,,,
1996-08-30,1996,R,,cincinnati,tulane,H,14,34,0,,,
1996-08-31,1996,R,,air-force,san-jose-state,H,45,0,0,,,
1996-08-31,1996,R,,san-jose-state,air-force,A,0,45,0,,,
1996-08-31,1996,R,,alabama,bowling-green,H,21,7,0,13.0,,
1996-08-31,1996,R,,bowling-green,alabama,A,7,21,0,,13.0,
1996-08-31,1996,R,,arizona,texas-el-paso,H,23,3,0,,,
1996-08-31,1996,R,,texas-el-paso,arizona,A,3,23,0,,,
1996-08-31,1996,R,,auburn,alabama-birmingham,H,29,0,0,16.0,,
1996-08-31,1996,R,,alabama-birmingham,auburn,A,0,29,0,,16.0,
1996-08-31,1996,R,,boston-college,hawaii,A,24,21,0,,,
1996-08-31,1996,R,,hawaii,boston-college,H,21,24,0,,,
1996-08-31,1996,R,,brigham-young,arkansas-state,H,58,9,0,19.0,,
1996-08-31,1996,R,,arkansas-state,brigham-young,A,9,58,0,,19.0,
1996-08-31,1996,R,,central-michigan,boise-state,A,42,21,0,,,
1996-08-31,1996,R,,boise-state,central-michigan,H,21,42,0,,,
1996-08-31,1996,R,,colorado,washington-state,H,37,19,0,5.0,,
1996-08-31,1996,R,,washington-state,colorado,A,19,37,0,,5.0,
1996-08-31,1996,R,,colorado-state,chattanooga,H,61,19,0,,,
1996-08-31,1996,R,,chattanooga,colorado-state,A,19,61,0,,,
1996-08-31,1996,R,,florida,louisiana,H,55,21,0,4.0,,
1996-08-31,1996,R,,louisiana,florida,A,21,55,0,,4.0,
1996-08-31,1996,R,,houston,sam-houston,H,43,25,0,,,
1996-08-31,1996,R,,sam-houston,houston,A,25,43,0,,,
1996-08-31,1996,R,,kansas-state,texas-tech,H,21,14,0,21.0,,
1996-08-31,1996,R,,texas-tech,kansas-state,A,14,21,0,,21.0,
1996-08-31,1996,R,,louisiana-tech,middle-tennessee-state,H,20,0,0,,,
