Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2004-08-28,2004,R,,miami-oh,indiana-state,H,49,0,0,,
2004-08-28,2004,R,,indiana-state,miami-oh,A,0,49,0,,
2004-08-28,2004,R,,southern-california,virginia-tech,N,24,13,0,1.0,
2004-08-28,2004,R,,virginia-tech,southern-california,N,13,24,0,,1.0
2004-09-02,2004,R,,arizona-state,texas-el-paso,H,41,9,0,,
2004-09-02,2004,R,,texas-el-paso,arizona-state,A,9,41,0,,
2004-09-02,2004,R,,boston-college,ball-state,A,19,11,0,,
2004-09-02,2004,R,,ball-state,boston-college,H,11,19,0,,
2004-09-02,2004,R,,eastern-michigan,buffalo,H,37,34,0,,
2004-09-02,2004,R,,buffalo,eastern-michigan,A,34,37,0,,
2004-09-02,2004,R,,texas-christian,northwestern,H,48,45,0,,
2004-09-02,2004,R,,northwestern,texas-christian,A,45,48,0,,
2004-09-02,2004,R,,utah,texas-a-m,H,41,21,0,20.0,
2004-09-02,2004,R,,texas-a-m,utah,A,21,41,0,,20.0
2004-09-02,2004,R,,western-michigan,tennessee-martin,H,42,0,0,,
2004-09-02,2004,R,,tennessee-martin,western-michigan,A,0,42,0,,
2004-09-03,2004,R,,washington-state,new-mexico,A,21,17,0,,
2004-09-03,2004,R,,new-mexico,washington-state,H,17,21,0,,
2004-09-04,2004,R,,alabama,utah-state,H,48,17,0,,
2004-09-04,2004,R,,utah-state,alabama,A,17,48,0,,
2004-09-04,2004,R,,alabama-birmingham,baylor,H,56,14,0,,
2004-09-04,2004,R,,baylor,alabama-birmingham,A,14,56,0,,
2004-09-04,2004,R,,arizona,northern-arizona,H,21,3,0,,
2004-09-04,2004,R,,northern-arizona,arizona,A,3,21,0,,
2004-09-04,2004,R,,arkansas,new-mexico-state,H,63,13,0,,
2004-09-04,2004,R,,new-mexico-state,arkansas,A,13,63,0,,
2004-09-04,2004,R,,auburn,louisiana-monroe,H,31,0,0,17.0,
2004-09-04,2004,R,,louisiana-monroe,auburn,A,0,31,0,,17.0
2004-09-04,2004,R,,boise-state,idaho,H,65,7,0,,
2004-09-04,2004,R,,idaho,boise-state,A,7,65,0,,
2004-09-04,2004,R,,brigham-young,notre-dame,H,20,17,0,,
2004-09-04,2004,R,,notre-dame,brigham-young,A,17,20,0,,
2004-09-04,2004,R,,california,air-force,A,56,14,0,12.0,
2004-09-04,2004,R,,air-force,california,H,14,56,0,,12.0
2004-09-04,2004,R,,clemson,wake-forest,H,37,30,0,15.0,
2004-09-04,2004,R,,wake-forest,clemson,A,30,37,0,,15.0
2004-09-04,2004,R,,colorado,colorado-state,H,27,24,0,,
2004-09-04,2004,R,,colorado-state,colorado,A,24,27,0,,
2004-09-04,2004,R,,connecticut,murray-state,H,52,14,0,,
2004-09-04,2004,R,,murray-state,connecticut,A,14,52,0,,
2004-09-04,2004,R,,florida-atlantic,hawaii,A,35,28,0,,
2004-09-04,2004,R,,hawaii,florida-atlantic,H,28,35,0,,
2004-09-04,2004,R,,georgia,georgia-southern,H,48,28,0,3.0,
2004-09-04,2004,R,,georgia-southern,georgia,A,28,48,0,,3.0
2004-09-04,2004,R,,georgia-tech,samford,H,28,7,0,,
2004-09-04,2004,R,,samford,georgia-tech,A,7,28,0,,
2004-09-04,2004,R,,illinois,florida-a-m,H,52,13,0,,
2004-09-04,2004,R,,florida-a-m,illinois,A,13,52,0,,
2004-09-04,2004,R,,indiana,central-michigan,H,41,10,0,,
2004-09-04,2004,R,,central-michigan,indiana,A,10,41,0,,
2004-09-04,2004,R,,iowa,kent-state,H,39,7,0,19.0,
2004-09-04,2004,R,,kent-state,iowa,A,7,39,0,,19.0
2004-09-04,2004,R,,iowa-state,northern-iowa,H,23,0,0,,
2004-09-04,2004,R,,northern-iowa,iowa-state,A,0,23,0,,
2004-09-04,2004,R,,kansas,tulsa,H,21,3,0,,
2004-09-04,2004,R,,tulsa,kansas,A,3,21,0,,
2004-09-04,2004,R,,kansas-state,western-kentucky,H,27,13,0,13.0,
2004-09-04,2004,R,,western-kentucky,kansas-state,A,13,27,0,,13.0
2004-09-04,2004,R,,louisiana,northwestern-state,H,14,7,0,,
2004-09-04,2004,R,,northwestern-state,louisiana,A,7,14,0,,
2004-09-04,2004,R,,louisiana-state,oregon-state,H,22,21,0,4.0,
2004-09-04,2004,R,,oregon-state,louisiana-state,A,21,22,0,,4.0
2004-09-04,2004,R,,maryland,northern-illinois,H,23,20,0,22.0,
2004-09-04,2004,R,,northern-illinois,maryland,A,20,23,0,,22.0
2004-09-04,2004,R,,memphis,mississippi,A,20,13,0,,
2004-09-04,2004,R,,mississippi,memphis,H,13,20,0,,
2004-09-04,2004,R,,michigan,miami-oh,H,43,10,0,8.0,
2004-09-04,2004,R,,miami-oh,michigan,A,10,43,0,,8.0
2004-09-04,2004,R,,minnesota,toledo,H,63,21,0,25.0,
2004-09-04,2004,R,,toledo,minnesota,A,21,63,0,,25.0
2004-09-04,2004,R,,mississippi-state,tulane,H,28,7,0,,
2004-09-04,2004,R,,tulane,mississippi-state,A,7,28,0,,
2004-09-04,2004,R,,missouri,arkansas-state,H,52,20,0,18.0,
2004-09-04,2004,R,,arkansas-state,missouri,A,20,52,0,,18.0
2004-09-04,2004,R,,navy,duke,H,27,12,0,,
2004-09-04,2004,R,,duke,navy,A,12,27,0,,
2004-09-04,2004,R,,nebraska,western-illinois,H,56,17,0,,
2004-09-04,2004,R,,western-illinois,nebraska,A,17,56,0,,
2004-09-04,2004,R,,north-carolina,william-mary,H,49,38,0,,
2004-09-04,2004,R,,william-mary,north-carolina,A,38,49,0,,
2004-09-04,2004,R,,north-carolina-state,richmond,H,42,0,0,,
2004-09-04,2004,R,,richmond,north-carolina-state,A,0,42,0,,
