Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2023-08-26,2023,R,,jacksonville-state,texas-el-paso,H,17,14,0,,
2023-08-26,2023,R,,texas-el-paso,jacksonville-state,A,14,17,0,,
2023-08-26,2023,R,,louisiana-tech,florida-international,H,22,17,0,,
2023-08-26,2023,R,,florida-international,louisiana-tech,A,17,22,0,,
2023-08-26,2023,R,,massachusetts,new-mexico-state,A,41,30,0,,
2023-08-26,2023,R,,new-mexico-state,massachusetts,H,30,41,0,,
2023-08-26,2023,R,,notre-dame,navy,N,42,3,0,13.0,
2023-08-26,2023,R,,navy,notre-dame,N,3,42,0,,13.0
2023-08-26,2023,R,,san-diego-state,ohio,H,20,13,0,,
2023-08-26,2023,R,,ohio,san-diego-state,A,13,20,0,,
2023-08-26,2023,R,,southern-california,san-jose-state,H,56,28,0,6.0,
2023-08-26,2023,R,,san-jose-state,southern-california,A,28,56,0,,6.0
2023-08-26,2023,R,,vanderbilt,hawaii,H,35,28,0,,
2023-08-26,2023,R,,hawaii,vanderbilt,A,28,35,0,,
2023-08-31,2023,R,,alabama-birmingham,north-carolina-a-t,H,35,6,0,,
2023-08-31,2023,R,,north-carolina-a-t,alabama-birmingham,A,6,35,0,,
2023-08-31,2023,R,,arizona-state,southern-utah,H,24,21,0,,
2023-08-31,2023,R,,southern-utah,arizona-state,A,21,24,0,,
2023-08-31,2023,R,,central-florida,kent-state,H,56,6,0,,
2023-08-31,2023,R,,kent-state,central-florida,A,6,56,0,,
2023-08-31,2023,R,,georgia-state,rhode-island,H,42,35,0,,
2023-08-31,2023,R,,rhode-island,georgia-state,A,35,42,0,,
2023-08-31,2023,R,,minnesota,nebraska,H,13,10,0,,
2023-08-31,2023,R,,nebraska,minnesota,A,10,13,0,,
2023-08-31,2023,R,,missouri,south-dakota,H,35,10,0,,
2023-08-31,2023,R,,south-dakota,missouri,A,10,35,0,,
2023-08-31,2023,R,,north-carolina-state,connecticut,A,24,14,0,,
2023-08-31,2023,R,,connecticut,north-carolina-state,H,14,24,0,,
2023-08-31,2023,R,,tulsa,arkansas-pine-bluff,H,42,7,0,,
