Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2011-09-01,2011,R,,arizona-state,california-davis,H,48,14,0,,,
2011-09-01,2011,R,,california-davis,arizona-state,A,14,48,0,,,
2011-09-01,2011,R,,bowling-green,idaho,A,32,15,0,,,
2011-09-01,2011,R,,idaho,bowling-green,H,15,32,0,,,
2011-09-01,2011,R,,central-michigan,south-carolina-state,H,21,6,0,,,
2011-09-01,2011,R,,south-carolina-state,central-michigan,A,6,21,0,,,
2011-09-01,2011,R,,florida-international,north-texas,H,41,16,0,,,
2011-09-01,2011,R,,north-texas,florida-international,A,16,41,0,,,
2011-09-01,2011,R,,georgia-tech,western-carolina,H,63,21,0,,,
2011-09-01,2011,R,,western-carolina,georgia-tech,A,21,63,0,,,
2011-09-01,2011,R,,kentucky,western-kentucky,N,14,3,0,,,
2011-09-01,2011,R,,western-kentucky,kentucky,N,3,14,0,,,
2011-09-01,2011,R,,louisville,murray-state,H,21,9,0,,,
2011-09-01,2011,R,,murray-state,louisville,A,9,21,0,,,
2011-09-01,2011,R,,mississippi-state,memphis,A,59,14,0,20.0,,
2011-09-01,2011,R,,memphis,mississippi-state,H,14,59,0,,20.0,
2011-09-01,2011,R,,rutgers,north-carolina-central,H,48,0,0,,,
2011-09-01,2011,R,,north-carolina-central,rutgers,A,0,48,0,,,
2011-09-01,2011,R,,syracuse,wake-forest,H,36,29,0,,,
2011-09-01,2011,R,,wake-forest,syracuse,A,29,36,0,,,
2011-09-01,2011,R,,temple,villanova,H,42,7,0,,,
2011-09-01,2011,R,,villanova,temple,A,7,42,0,,,
2011-09-01,2011,R,,toledo,new-hampshire,H,58,22,0,,,
2011-09-01,2011,R,,new-hampshire,toledo,A,22,58,0,,,
2011-09-01,2011,R,,utah,montana-state,H,27,10,0,,,
2011-09-01,2011,R,,montana-state,utah,A,10,27,0,,,
2011-09-01,2011,R,,wisconsin,nevada-las-vegas,H,51,17,0,11.0,,
2011-09-01,2011,R,,nevada-las-vegas,wisconsin,A,17,51,0,,11.0,
2011-09-02,2011,R,,baylor,texas-christian,H,50,48,0,,14.0,
2011-09-02,2011,R,,texas-christian,baylor,A,48,50,0,14.0,,
2011-09-02,2011,R,,michigan-state,youngstown-state,H,28,6,0,17.0,,
2011-09-02,2011,R,,youngstown-state,michigan-state,A,6,28,0,,17.0,
2011-09-03,2011,R,,air-force,south-dakota,H,37,20,0,,,
2011-09-03,2011,R,,south-dakota,air-force,A,20,37,0,,,
2011-09-03,2011,R,,alabama,kent-state,H,48,7,0,2.0,,
2011-09-03,2011,R,,kent-state,alabama,A,7,48,0,,2.0,
2011-09-03,2011,R,,arizona,northern-arizona,H,41,10,0,,,
2011-09-03,2011,R,,northern-arizona,arizona,A,10,41,0,,,
2011-09-03,2011,R,,arkansas,missouri-state,H,51,7,0,15.0,,
2011-09-03,2011,R,,missouri-state,arkansas,A,7,51,0,,15.0,
2011-09-03,2011,R,,auburn,utah-state,H,42,38,0,23.0,,
2011-09-03,2011,R,,utah-state,auburn,A,38,42,0,,23.0,
2011-09-03,2011,R,,ball-state,indiana,N,27,20,0,,,
2011-09-03,2011,R,,indiana,ball-state,N,20,27,0,,,
2011-09-03,2011,R,,boise-state,georgia,A,35,21,0,5.0,19.0,
2011-09-03,2011,R,,georgia,boise-state,H,21,35,0,19.0,5.0,
2011-09-03,2011,R,,brigham-young,mississippi,A,14,13,0,,,
2011-09-03,2011,R,,mississippi,brigham-young,H,13,14,0,,,
2011-09-03,2011,R,,california,fresno-state,N,36,21,0,,,
2011-09-03,2011,R,,fresno-state,california,N,21,36,0,,,
2011-09-03,2011,R,,central-florida,charleston-southern,H,62,0,0,,,
2011-09-03,2011,R,,charleston-southern,central-florida,A,0,62,0,,,
2011-09-03,2011,R,,cincinnati,austin-peay,H,72,10,0,,,
2011-09-03,2011,R,,austin-peay,cincinnati,A,10,72,0,,,
2011-09-03,2011,R,,clemson,troy,H,43,19,0,,,
2011-09-03,2011,R,,troy,clemson,A,19,43,0,,,
2011-09-03,2011,R,,colorado-state,new-mexico,A,14,10,0,,,
2011-09-03,2011,R,,new-mexico,colorado-state,H,10,14,0,,,
2011-09-03,2011,R,,connecticut,fordham,H,35,3,0,,,
2011-09-03,2011,R,,fordham,connecticut,A,3,35,0,,,
2011-09-03,2011,R,,florida,florida-atlantic,H,41,3,0,22.0,,
2011-09-03,2011,R,,florida-atlantic,florida,A,3,41,0,,22.0,
2011-09-03,2011,R,,florida-state,louisiana-monroe,H,34,0,0,6.0,,
