Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2017-08-26,2017,R,,brigham-young,portland-state,H,20,6,0,,
2017-08-26,2017,R,,portland-state,brigham-young,A,6,20,0,,
2017-08-26,2017,R,,colorado-state,oregon-state,H,58,27,0,,
2017-08-26,2017,R,,oregon-state,colorado-state,A,27,58,0,,
2017-08-26,2017,R,,hawaii,massachusetts,A,38,35,0,,
2017-08-26,2017,R,,massachusetts,hawaii,H,35,38,0,,
2017-08-26,2017,R,,south-florida,san-jose-state,A,42,22,0,19.0,
2017-08-26,2017,R,,san-jose-state,south-florida,H,22,42,0,,19.0
2017-08-26,2017,R,,stanford,rice,N,62,7,0,14.0,
2017-08-26,2017,R,,rice,stanford,N,7,62,0,,14.0
2017-08-27,2017,R,,stanford,rice,N,62,7,0,14.0,
2017-08-27,2017,R,,rice,stanford,N,7,62,0,,14.0
2017-08-31,2017,R,,arizona-state,new-mexico-state,H,37,31,0,,
2017-08-31,2017,R,,new-mexico-state,arizona-state,A,31,37,0,,
2017-08-31,2017,R,,arkansas,florida-a-m,N,49,7,0,,
2017-08-31,2017,R,,florida-a-m,arkansas,N,7,49,0,,
2017-08-31,2017,R,,central-florida,florida-international,H,61,17,0,,
2017-08-31,2017,R,,florida-international,central-florida,A,17,61,0,,
2017-08-31,2017,R,,central-michigan,rhode-island,H,30,27,0,,
2017-08-31,2017,R,,rhode-island,central-michigan,A,27,30,0,,
2017-08-31,2017,R,,cincinnati,austin-peay,H,26,14,0,,
2017-08-31,2017,R,,austin-peay,cincinnati,A,14,26,0,,
2017-08-31,2017,R,,connecticut,holy-cross,H,27,20,0,,
2017-08-31,2017,R,,holy-cross,connecticut,A,20,27,0,,
2017-08-31,2017,R,,idaho,sacramento-state,H,28,6,0,,
2017-08-31,2017,R,,sacramento-state,idaho,A,6,28,0,,
2017-08-31,2017,R,,memphis,louisiana-monroe,H,37,29,0,,
2017-08-31,2017,R,,louisiana-monroe,memphis,A,29,37,0,,
2017-08-31,2017,R,,minnesota,buffalo,H,17,7,0,,
2017-08-31,2017,R,,buffalo,minnesota,A,7,17,0,,
2017-08-31,2017,R,,ohio-state,indiana,A,49,21,0,2.0,
2017-08-31,2017,R,,indiana,ohio-state,H,21,49,0,,2.0
2017-08-31,2017,R,,oklahoma-state,tulsa,H,59,24,0,10.0,
2017-08-31,2017,R,,tulsa,oklahoma-state,A,24,59,0,,10.0
2017-08-31,2017,R,,tennessee-state,georgia-state,A,17,10,0,,
2017-08-31,2017,R,,georgia-state,tennessee-state,H,10,17,0,,
2017-08-31,2017,R,,toledo,elon,H,47,13,0,,
2017-08-31,2017,R,,elon,toledo,A,13,47,0,,
2017-08-31,2017,R,,utah,north-dakota,H,37,16,0,,
2017-08-31,2017,R,,north-dakota,utah,A,16,37,0,,
2017-08-31,2017,R,,wake-forest,presbyterian,H,51,7,0,,
2017-08-31,2017,R,,presbyterian,wake-forest,A,7,51,0,,
2017-09-01,2017,R,,army,fordham,H,64,6,0,,
2017-09-01,2017,R,,fordham,army,A,6,64,0,,
2017-09-01,2017,R,,boston-college,northern-illinois,A,23,20,0,,
2017-09-01,2017,R,,northern-illinois,boston-college,H,20,23,0,,
2017-09-01,2017,R,,colorado,colorado-state,N,17,3,0,,
2017-09-01,2017,R,,colorado-state,colorado,N,3,17,0,,
2017-09-01,2017,R,,eastern-michigan,charlotte,H,24,7,0,,
2017-09-01,2017,R,,charlotte,eastern-michigan,A,7,24,0,,
2017-09-01,2017,R,,navy,florida-atlantic,A,42,19,0,,
2017-09-01,2017,R,,florida-atlantic,navy,H,19,42,0,,
2017-09-01,2017,R,,syracuse,central-connecticut-state,H,50,7,0,,
2017-09-01,2017,R,,central-connecticut-state,syracuse,A,7,50,0,,
2017-09-01,2017,R,,washington,rutgers,A,30,14,0,8.0,
2017-09-01,2017,R,,rutgers,washington,H,14,30,0,,8.0
2017-09-01,2017,R,,wisconsin,utah-state,H,59,10,0,9.0,
2017-09-01,2017,R,,utah-state,wisconsin,A,10,59,0,,9.0
2017-09-02,2017,R,,air-force,virginia-military-institute,H,62,0,0,,
2017-09-02,2017,R,,virginia-military-institute,air-force,A,0,62,0,,
2017-09-02,2017,R,,alabama,florida-state,N,24,7,0,1.0,3.0
2017-09-02,2017,R,,florida-state,alabama,N,7,24,0,3.0,1.0
2017-09-02,2017,R,,alabama-birmingham,alabama-a-m,H,38,7,0,,
2017-09-02,2017,R,,alabama-a-m,alabama-birmingham,A,7,38,0,,
2017-09-02,2017,R,,arizona,northern-arizona,H,62,24,0,,
2017-09-02,2017,R,,northern-arizona,arizona,A,24,62,0,,
2017-09-02,2017,R,,auburn,georgia-southern,H,41,7,0,12.0,
2017-09-02,2017,R,,georgia-southern,auburn,A,7,41,0,,12.0
2017-09-02,2017,R,,boise-state,troy,H,24,13,0,,
2017-09-02,2017,R,,troy,boise-state,A,13,24,0,,
2017-09-02,2017,R,,california,north-carolina,A,35,30,0,,
2017-09-02,2017,R,,north-carolina,california,H,30,35,0,,
2017-09-02,2017,R,,clemson,kent-state,H,56,3,0,5.0,
2017-09-02,2017,R,,kent-state,clemson,A,3,56,0,,5.0
2017-09-02,2017,R,,coastal-carolina,massachusetts,H,38,28,0,,
2017-09-02,2017,R,,massachusetts,coastal-carolina,A,28,38,0,,
2017-09-02,2017,R,,duke,north-carolina-central,H,60,7,0,,
2017-09-02,2017,R,,north-carolina-central,duke,A,7,60,0,,
2017-09-02,2017,R,,fresno-state,incarnate-word,H,66,0,0,,
2017-09-02,2017,R,,incarnate-word,fresno-state,A,0,66,0,,
2017-09-02,2017,R,,georgia,appalachian-state,H,31,10,0,15.0,
2017-09-02,2017,R,,appalachian-state,georgia,A,10,31,0,,15.0
2017-09-02,2017,R,,hawaii,western-carolina,H,41,18,0,,
2017-09-02,2017,R,,western-carolina,hawaii,A,18,41,0,,
2017-09-02,2017,R,,howard,nevada-las-vegas,A,43,40,0,,
2017-09-02,2017,R,,nevada-las-vegas,howard,H,40,43,0,,
2017-09-02,2017,R,,illinois,ball-state,H,24,21,0,,
2017-09-02,2017,R,,ball-state,illinois,A,21,24,0,,
2017-09-02,2017,R,,iowa,wyoming,H,24,3,0,,
2017-09-02,2017,R,,wyoming,iowa,A,3,24,0,,
2017-09-02,2017,R,,iowa-state,northern-iowa,H,42,24,0,,
2017-09-02,2017,R,,northern-iowa,iowa-state,A,24,42,0,,
2017-09-02,2017,R,,james-madison,east-carolina,A,34,14,0,,
2017-09-02,2017,R,,east-carolina,james-madison,H,14,34,0,,
2017-09-02,2017,R,,kansas,southeast-missouri-state,H,38,16,0,,
2017-09-02,2017,R,,southeast-missouri-state,kansas,A,16,38,0,,
2017-09-02,2017,R,,kansas-state,central-arkansas,H,55,19,0,20.0,
2017-09-02,2017,R,,central-arkansas,kansas-state,A,19,55,0,,20.0
2017-09-02,2017,R,,kentucky,southern-mississippi,A,24,17,0,,
2017-09-02,2017,R,,southern-mississippi,kentucky,H,17,24,0,,
2017-09-02,2017,R,,liberty,baylor,A,48,45,0,,
2017-09-02,2017,R,,baylor,liberty,H,45,48,0,,
2017-09-02,2017,R,,louisiana,southeastern-louisiana,H,51,48,0,,
2017-09-02,2017,R,,southeastern-louisiana,louisiana,A,48,51,0,,
2017-09-02,2017,R,,louisiana-state,brigham-young,N,27,0,0,13.0,
2017-09-02,2017,R,,brigham-young,louisiana-state,N,0,27,0,,13.0
2017-09-02,2017,R,,louisiana-tech,northwestern-state,H,52,24,0,,
2017-09-02,2017,R,,northwestern-state,louisiana-tech,A,24,52,0,,
2017-09-02,2017,R,,louisville,purdue,N,35,28,0,16.0,
2017-09-02,2017,R,,purdue,louisville,N,28,35,0,,16.0
