Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2021-08-28,2021,R,,fresno-state,connecticut,H,45,0,0,,,
2021-08-28,2021,R,,connecticut,fresno-state,A,0,45,0,,,
2021-08-28,2021,R,,illinois,nebraska,H,30,22,0,,,
2021-08-28,2021,R,,nebraska,illinois,A,22,30,0,,,
2021-08-28,2021,R,,san-jose-state,southern-utah,H,45,14,0,,,
2021-08-28,2021,R,,southern-utah,san-jose-state,A,14,45,0,,,
2021-08-28,2021,R,,texas-el-paso,new-mexico-state,A,30,3,0,,,
2021-08-28,2021,R,,new-mexico-state,texas-el-paso,H,3,30,0,,,
2021-08-28,2021,R,,ucla,hawaii,H,44,10,0,,,
2021-08-28,2021,R,,hawaii,ucla,A,10,44,0,,,
2021-09-01,2021,R,,alabama-birmingham,jacksonville-state,N,31,0,0,,,Cramton Bowl - Montgomery Alabama
2021-09-01,2021,R,,jacksonville-state,alabama-birmingham,N,0,31,0,,,Cramton Bowl - Montgomery Alabama
2021-09-02,2021,R,,appalachian-state,east-carolina,N,33,19,0,,,Bank of America Stadium - Charlotte North Carolina
2021-09-02,2021,R,,east-carolina,appalachian-state,N,19,33,0,,,Bank of America Stadium - Charlotte North Carolina
2021-09-02,2021,R,,arizona-state,southern-utah,H,41,14,0,25.0,,
2021-09-02,2021,R,,southern-utah,arizona-state,A,14,41,0,,25.0,
2021-09-02,2021,R,,ball-state,western-illinois,H,31,21,0,,,
2021-09-02,2021,R,,western-illinois,ball-state,A,21,31,0,,,
2021-09-02,2021,R,,buffalo,wagner,H,69,7,0,,,
2021-09-02,2021,R,,wagner,buffalo,A,7,69,0,,,
2021-09-02,2021,R,,california-davis,tulsa,A,19,17,0,,,
2021-09-02,2021,R,,tulsa,california-davis,H,17,19,0,,,
2021-09-02,2021,R,,central-florida,boise-state,H,36,31,0,,,
2021-09-02,2021,R,,boise-state,central-florida,A,31,36,0,,,
2021-09-02,2021,R,,coastal-carolina,citadel,H,52,14,0,22.0,,
2021-09-02,2021,R,,citadel,coastal-carolina,A,14,52,0,,22.0,
2021-09-02,2021,R,,eastern-washington,nevada-las-vegas,A,35,33,0,,,
2021-09-02,2021,R,,nevada-las-vegas,eastern-washington,H,33,35,0,,,
2021-09-02,2021,R,,florida-international,long-island,H,48,10,0,,,
2021-09-02,2021,R,,long-island,florida-international,A,10,48,0,,,
2021-09-02,2021,R,,new-mexico,houston-baptist,H,27,17,0,,,
2021-09-02,2021,R,,houston-baptist,new-mexico,A,17,27,0,,,
2021-09-02,2021,R,,north-carolina-state,south-florida,H,45,0,0,,,
2021-09-02,2021,R,,south-florida,north-carolina-state,A,0,45,0,,,
2021-09-02,2021,R,,ohio-state,minnesota,A,45,31,0,4.0,,
2021-09-02,2021,R,,minnesota,ohio-state,H,31,45,0,,4.0,
2021-09-02,2021,R,,tennessee,bowling-green,H,38,6,0,,,
2021-09-02,2021,R,,bowling-green,tennessee,A,6,38,0,,,
2021-09-02,2021,R,,utah,weber-state,H,40,17,0,24.0,,
2021-09-02,2021,R,,weber-state,utah,A,17,40,0,,24.0,
2021-09-02,2021,R,,western-kentucky,tennessee-martin,H,59,21,0,,,
2021-09-02,2021,R,,tennessee-martin,western-kentucky,A,21,59,0,,,
2021-09-03,2021,R,,charlotte,duke,H,31,28,0,,,
2021-09-03,2021,R,,duke,charlotte,A,28,31,0,,,
2021-09-03,2021,R,,colorado,northern-colorado,H,35,7,0,,,
2021-09-03,2021,R,,northern-colorado,colorado,A,7,35,0,,,
2021-09-03,2021,R,,eastern-michigan,st-francis-pa,H,35,15,0,,,
2021-09-03,2021,R,,st-francis-pa,eastern-michigan,A,15,35,0,,,
2021-09-03,2021,R,,kansas,south-dakota,H,17,14,0,,,
2021-09-03,2021,R,,south-dakota,kansas,A,14,17,0,,,
2021-09-03,2021,R,,michigan-state,northwestern,A,38,21,0,,,
2021-09-03,2021,R,,northwestern,michigan-state,H,21,38,0,,,
2021-09-03,2021,R,,south-dakota-state,colorado-state,A,42,23,0,,,
2021-09-03,2021,R,,colorado-state,south-dakota-state,H,23,42,0,,,
2021-09-03,2021,R,,virginia-tech,north-carolina,H,17,10,0,,10.0,
2021-09-03,2021,R,,north-carolina,virginia-tech,A,10,17,0,10.0,,
2021-09-03,2021,R,,wake-forest,old-dominion,H,42,10,0,,,
2021-09-03,2021,R,,old-dominion,wake-forest,A,10,42,0,,,
2021-09-04,2021,R,,air-force,lafayette,H,35,14,0,,,
2021-09-04,2021,R,,lafayette,air-force,A,14,35,0,,,
2021-09-04,2021,R,,alabama,miami-fl,N,44,13,0,1.0,14.0,Mercedes-Benz Stadium - Atlanta Georgia
2021-09-04,2021,R,,miami-fl,alabama,N,13,44,0,14.0,1.0,Mercedes-Benz Stadium - Atlanta Georgia
2021-09-04,2021,R,,arkansas,rice,H,38,17,0,,,
2021-09-04,2021,R,,rice,arkansas,A,17,38,0,,,
2021-09-04,2021,R,,arkansas-state,central-arkansas,H,40,21,0,,,
2021-09-04,2021,R,,central-arkansas,arkansas-state,A,21,40,0,,,
2021-09-04,2021,R,,army,georgia-state,A,43,10,0,,,
2021-09-04,2021,R,,georgia-state,army,H,10,43,0,,,
2021-09-04,2021,R,,auburn,akron,H,60,10,0,,,
2021-09-04,2021,R,,akron,auburn,A,10,60,0,,,
2021-09-04,2021,R,,baylor,texas-state,A,29,20,0,,,
2021-09-04,2021,R,,texas-state,baylor,H,20,29,0,,,
2021-09-04,2021,R,,boston-college,colgate,H,51,0,0,,,
2021-09-04,2021,R,,colgate,boston-college,A,0,51,0,,,
2021-09-04,2021,R,,brigham-young,arizona,N,24,16,0,,,Allegiant Stadium - Paradise Nevada
2021-09-04,2021,R,,arizona,brigham-young,N,16,24,0,,,Allegiant Stadium - Paradise Nevada
2021-09-04,2021,R,,cincinnati,miami-oh,H,49,14,0,8.0,,
2021-09-04,2021,R,,miami-oh,cincinnati,A,14,49,0,,8.0,
2021-09-04,2021,R,,east-tennessee-state,vanderbilt,A,23,3,0,,,
2021-09-04,2021,R,,vanderbilt,east-tennessee-state,H,3,23,0,,,
2021-09-04,2021,R,,florida,florida-atlantic,H,35,14,0,13.0,,
2021-09-04,2021,R,,florida-atlantic,florida,A,14,35,0,,13.0,
2021-09-04,2021,R,,georgia,clemson,N,10,3,0,5.0,3.0,Bank of America Stadium - Charlotte North Carolina
2021-09-04,2021,R,,clemson,georgia,N,3,10,0,3.0,5.0,Bank of America Stadium - Charlotte North Carolina
2021-09-04,2021,R,,georgia-southern,gardner-webb,H,30,25,0,,,
2021-09-04,2021,R,,gardner-webb,georgia-southern,A,25,30,0,,,
2021-09-04,2021,R,,hawaii,portland-state,H,49,35,0,,,
2021-09-04,2021,R,,portland-state,hawaii,A,35,49,0,,,
2021-09-04,2021,R,,holy-cross,connecticut,A,38,28,0,,,
2021-09-04,2021,R,,connecticut,holy-cross,H,28,38,0,,,
2021-09-04,2021,R,,iowa,indiana,H,34,6,0,18.0,17.0,
2021-09-04,2021,R,,indiana,iowa,A,6,34,0,17.0,18.0,
2021-09-04,2021,R,,iowa-state,northern-iowa,H,16,10,0,7.0,,
2021-09-04,2021,R,,northern-iowa,iowa-state,A,10,16,0,,7.0,
2021-09-04,2021,R,,kansas-state,stanford,N,24,7,0,,,AT&T Stadium - Arlington Texas
2021-09-04,2021,R,,stanford,kansas-state,N,7,24,0,,,AT&T Stadium - Arlington Texas
2021-09-04,2021,R,,kentucky,louisiana-monroe,H,45,10,0,,,
2021-09-04,2021,R,,louisiana-monroe,kentucky,A,10,45,0,,,
2021-09-04,2021,R,,liberty,campbell,H,48,7,0,,,
2021-09-04,2021,R,,campbell,liberty,A,7,48,0,,,
2021-09-04,2021,R,,marshall,navy,A,49,7,0,,,
2021-09-04,2021,R,,navy,marshall,H,7,49,0,,,
2021-09-04,2021,R,,maryland,west-virginia,H,30,24,0,,,
2021-09-04,2021,R,,west-virginia,maryland,A,24,30,0,,,
2021-09-04,2021,R,,memphis,nicholls-state,H,42,17,0,,,
2021-09-04,2021,R,,nicholls-state,memphis,A,17,42,0,,,
2021-09-04,2021,R,,michigan,western-michigan,H,47,14,0,,,
2021-09-04,2021,R,,western-michigan,michigan,A,14,47,0,,,
2021-09-04,2021,R,,middle-tennessee-state,monmouth,H,50,15,0,,,
2021-09-04,2021,R,,monmouth,middle-tennessee-state,A,15,50,0,,,
2021-09-04,2021,R,,mississippi-state,louisiana-tech,H,35,34,0,,,
2021-09-04,2021,R,,louisiana-tech,mississippi-state,A,34,35,0,,,
2021-09-04,2021,R,,missouri,central-michigan,H,34,24,0,,,
2021-09-04,2021,R,,central-michigan,missouri,A,24,34,0,,,
2021-09-04,2021,R,,montana,washington,A,13,7,0,,20.0,
2021-09-04,2021,R,,washington,montana,H,7,13,0,20.0,,
2021-09-04,2021,R,,nebraska,fordham,H,52,7,0,,,
2021-09-04,2021,R,,fordham,nebraska,A,7,52,0,,,
2021-09-04,2021,R,,nevada,california,A,22,17,0,,,
2021-09-04,2021,R,,california,nevada,H,17,22,0,,,
2021-09-04,2021,R,,north-texas,northwestern-state,H,44,14,0,,,
2021-09-04,2021,R,,northwestern-state,north-texas,A,14,44,0,,,
2021-09-04,2021,R,,northern-illinois,georgia-tech,A,22,21,0,,,
2021-09-04,2021,R,,georgia-tech,northern-illinois,H,21,22,0,,,
2021-09-04,2021,R,,oklahoma,tulane,H,40,35,0,2.0,,
2021-09-04,2021,R,,tulane,oklahoma,A,35,40,0,,2.0,
2021-09-04,2021,R,,oklahoma-state,missouri-state,H,23,16,0,,,
2021-09-04,2021,R,,missouri-state,oklahoma-state,A,16,23,0,,,
2021-09-04,2021,R,,oregon,fresno-state,H,31,24,0,11.0,,
2021-09-04,2021,R,,fresno-state,oregon,A,24,31,0,,11.0,
2021-09-04,2021,R,,penn-state,wisconsin,A,16,10,0,19.0,12.0,
2021-09-04,2021,R,,wisconsin,penn-state,H,10,16,0,12.0,19.0,
2021-09-04,2021,R,,pittsburgh,massachusetts,H,51,7,0,,,
2021-09-04,2021,R,,massachusetts,pittsburgh,A,7,51,0,,,
2021-09-04,2021,R,,purdue,oregon-state,H,30,21,0,,,
2021-09-04,2021,R,,oregon-state,purdue,A,21,30,0,,,
2021-09-04,2021,R,,rutgers,temple,H,61,14,0,,,
2021-09-04,2021,R,,temple,rutgers,A,14,61,0,,,
2021-09-04,2021,R,,san-diego-state,new-mexico-state,H,28,10,0,,,
2021-09-04,2021,R,,new-mexico-state,san-diego-state,A,10,28,0,,,
2021-09-04,2021,R,,south-alabama,southern-mississippi,H,31,7,0,,,
2021-09-04,2021,R,,southern-mississippi,south-alabama,A,7,31,0,,,
2021-09-04,2021,R,,south-carolina,eastern-illinois,H,46,0,0,,,
