Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2012-08-30,2012,R,,arizona-state,northern-arizona,H,63,6,0,,,
2012-08-30,2012,R,,northern-arizona,arizona-state,A,6,63,0,,,
2012-08-30,2012,R,,ball-state,eastern-michigan,H,37,26,0,,,
2012-08-30,2012,R,,eastern-michigan,ball-state,A,26,37,0,,,
2012-08-30,2012,R,,brigham-young,washington-state,H,30,6,0,,,
2012-08-30,2012,R,,washington-state,brigham-young,A,6,30,0,,,
2012-08-30,2012,R,,central-florida,akron,A,56,14,0,,,
2012-08-30,2012,R,,akron,central-florida,H,14,56,0,,,
2012-08-30,2012,R,,central-michigan,southeast-missouri-state,H,38,27,0,,,
2012-08-30,2012,R,,southeast-missouri-state,central-michigan,A,27,38,0,,,
2012-08-30,2012,R,,connecticut,massachusetts,H,37,0,0,,,
2012-08-30,2012,R,,massachusetts,connecticut,A,0,37,0,,,
2012-08-30,2012,R,,eastern-washington,idaho,A,20,3,0,,,
2012-08-30,2012,R,,idaho,eastern-washington,H,3,20,0,,,
2012-08-30,2012,R,,kent-state,towson,H,41,21,0,,,
2012-08-30,2012,R,,towson,kent-state,A,21,41,0,,,
2012-08-30,2012,R,,mcneese-state,middle-tennessee-state,A,27,21,0,,,
2012-08-30,2012,R,,middle-tennessee-state,mcneese-state,H,21,27,0,,,
2012-08-30,2012,R,,minnesota,nevada-las-vegas,A,30,27,0,,,
2012-08-30,2012,R,,nevada-las-vegas,minnesota,H,27,30,0,,,
2012-08-30,2012,R,,new-mexico-state,sacramento-state,H,49,19,0,,,
2012-08-30,2012,R,,sacramento-state,new-mexico-state,A,19,49,0,,,
2012-08-30,2012,R,,south-carolina,vanderbilt,A,17,13,0,9.0,,
2012-08-30,2012,R,,vanderbilt,south-carolina,H,13,17,0,,9.0,
2012-08-30,2012,R,,ucla,rice,A,49,24,0,,,
2012-08-30,2012,R,,rice,ucla,H,24,49,0,,,
2012-08-30,2012,R,,utah,northern-colorado,H,41,0,0,,,
2012-08-30,2012,R,,northern-colorado,utah,A,0,41,0,,,
2012-08-30,2012,R,,utah-state,southern-utah,H,34,3,0,,,
2012-08-30,2012,R,,southern-utah,utah-state,A,3,34,0,,,
2012-08-31,2012,R,,florida-atlantic,wagner,H,7,3,0,,,
2012-08-31,2012,R,,wagner,florida-atlantic,A,3,7,0,,,
2012-08-31,2012,R,,michigan-state,boise-state,H,17,13,0,13.0,24.0,
2012-08-31,2012,R,,boise-state,michigan-state,A,13,17,0,24.0,13.0,
2012-08-31,2012,R,,stanford,san-jose-state,H,20,17,0,21.0,,
2012-08-31,2012,R,,san-jose-state,stanford,A,17,20,0,,21.0,
2012-08-31,2012,R,,temple,villanova,H,41,10,0,,,
2012-08-31,2012,R,,villanova,temple,A,10,41,0,,,
2012-08-31,2012,R,,tennessee,north-carolina-state,N,35,21,0,,,
2012-08-31,2012,R,,north-carolina-state,tennessee,N,21,35,0,,,
2012-09-01,2012,R,,air-force,idaho-state,H,49,21,0,,,
2012-09-01,2012,R,,idaho-state,air-force,A,21,49,0,,,
2012-09-01,2012,R,,alabama,michigan,N,41,14,0,2.0,8.0,
2012-09-01,2012,R,,michigan,alabama,N,14,41,0,8.0,2.0,
2012-09-01,2012,R,,arizona,toledo,H,24,17,0,,,
2012-09-01,2012,R,,toledo,arizona,A,17,24,0,,,
2012-09-01,2012,R,,arkansas,jacksonville-state,H,49,24,0,10.0,,
2012-09-01,2012,R,,jacksonville-state,arkansas,A,24,49,0,,10.0,
2012-09-01,2012,R,,clemson,auburn,N,26,19,0,14.0,,
2012-09-01,2012,R,,auburn,clemson,N,19,26,0,,14.0,
2012-09-01,2012,R,,colorado-state,colorado,N,22,17,0,,,
2012-09-01,2012,R,,colorado,colorado-state,N,17,22,0,,,
2012-09-01,2012,R,,duke,florida-international,H,46,26,0,,,
2012-09-01,2012,R,,florida-international,duke,A,26,46,0,,,
2012-09-01,2012,R,,east-carolina,appalachian-state,H,35,13,0,,,
2012-09-01,2012,R,,appalachian-state,east-carolina,A,13,35,0,,,
2012-09-01,2012,R,,florida,bowling-green,H,27,14,0,23.0,,
2012-09-01,2012,R,,bowling-green,florida,A,14,27,0,,23.0,
2012-09-01,2012,R,,florida-state,murray-state,H,69,3,0,7.0,,
2012-09-01,2012,R,,murray-state,florida-state,A,3,69,0,,7.0,
2012-09-01,2012,R,,fresno-state,weber-state,H,37,10,0,,,
2012-09-01,2012,R,,weber-state,fresno-state,A,10,37,0,,,
2012-09-01,2012,R,,georgia,buffalo,H,45,23,0,6.0,,
2012-09-01,2012,R,,buffalo,georgia,A,23,45,0,,6.0,
2012-09-01,2012,R,,illinois,western-michigan,H,24,7,0,,,
2012-09-01,2012,R,,western-michigan,illinois,A,7,24,0,,,
2012-09-01,2012,R,,indiana,indiana-state,H,24,17,0,,,
2012-09-01,2012,R,,indiana-state,indiana,A,17,24,0,,,
2012-09-01,2012,R,,iowa,northern-illinois,A,18,17,0,,,
2012-09-01,2012,R,,northern-illinois,iowa,H,17,18,0,,,
2012-09-01,2012,R,,iowa-state,tulsa,H,38,23,0,,,
2012-09-01,2012,R,,tulsa,iowa-state,A,23,38,0,,,
2012-09-01,2012,R,,kansas,south-dakota-state,H,31,17,0,,,
2012-09-01,2012,R,,south-dakota-state,kansas,A,17,31,0,,,
2012-09-01,2012,R,,kansas-state,missouri-state,H,51,9,0,22.0,,
2012-09-01,2012,R,,missouri-state,kansas-state,A,9,51,0,,22.0,
2012-09-01,2012,R,,louisiana,lamar,H,40,0,0,,,
2012-09-01,2012,R,,lamar,louisiana,A,0,40,0,,,
2012-09-01,2012,R,,louisiana-state,north-texas,H,41,14,0,3.0,,
2012-09-01,2012,R,,north-texas,louisiana-state,A,14,41,0,,3.0,
2012-09-01,2012,R,,maryland,william-mary,H,7,6,0,,,
2012-09-01,2012,R,,william-mary,maryland,A,6,7,0,,,
2012-09-01,2012,R,,miami-fl,boston-college,A,41,32,0,,,
2012-09-01,2012,R,,boston-college,miami-fl,H,32,41,0,,,
2012-09-01,2012,R,,mississippi,central-arkansas,H,49,27,0,,,
2012-09-01,2012,R,,central-arkansas,mississippi,A,27,49,0,,,
2012-09-01,2012,R,,mississippi-state,jackson-state,H,56,9,0,,,
2012-09-01,2012,R,,jackson-state,mississippi-state,A,9,56,0,,,
2012-09-01,2012,R,,missouri,southeastern-louisiana,H,62,10,0,,,
2012-09-01,2012,R,,southeastern-louisiana,missouri,A,10,62,0,,,
2012-09-01,2012,R,,nebraska,southern-mississippi,H,49,20,0,17.0,,
2012-09-01,2012,R,,southern-mississippi,nebraska,A,20,49,0,,17.0,
2012-09-01,2012,R,,nevada,california,A,31,24,0,,,
2012-09-01,2012,R,,california,nevada,H,24,31,0,,,
2012-09-01,2012,R,,new-mexico,southern,H,66,21,0,,,
2012-09-01,2012,R,,southern,new-mexico,A,21,66,0,,,
2012-09-01,2012,R,,north-carolina,elon,H,62,0,0,,,
2012-09-01,2012,R,,elon,north-carolina,A,0,62,0,,,
2012-09-01,2012,R,,northwestern,syracuse,A,42,41,0,,,
2012-09-01,2012,R,,syracuse,northwestern,H,41,42,0,,,
2012-09-01,2012,R,,notre-dame,navy,N,50,10,0,,,
2012-09-01,2012,R,,navy,notre-dame,N,10,50,0,,,
2012-09-01,2012,R,,ohio,penn-state,A,24,14,0,,,
2012-09-01,2012,R,,penn-state,ohio,H,14,24,0,,,
2012-09-01,2012,R,,ohio-state,miami-oh,H,56,10,0,18.0,,
2012-09-01,2012,R,,miami-oh,ohio-state,A,10,56,0,,18.0,
2012-09-01,2012,R,,oklahoma,texas-el-paso,A,24,7,0,4.0,,
2012-09-01,2012,R,,texas-el-paso,oklahoma,H,7,24,0,,4.0,
2012-09-01,2012,R,,oklahoma-state,savannah-state,H,84,0,0,19.0,,
2012-09-01,2012,R,,savannah-state,oklahoma-state,A,0,84,0,,19.0,
2012-09-01,2012,R,,oregon,arkansas-state,H,57,34,0,5.0,,
2012-09-01,2012,R,,arkansas-state,oregon,A,34,57,0,,5.0,
2012-09-01,2012,R,,purdue,eastern-kentucky,H,48,6,0,,,
2012-09-01,2012,R,,eastern-kentucky,purdue,A,6,48,0,,,
2012-09-01,2012,R,,rutgers,tulane,A,24,12,0,,,
2012-09-01,2012,R,,tulane,rutgers,H,12,24,0,,,
2012-09-01,2012,R,,south-florida,chattanooga,H,34,13,0,,,
2012-09-01,2012,R,,chattanooga,south-florida,A,13,34,0,,,
2012-09-01,2012,R,,southern-california,hawaii,H,49,10,0,1.0,,
2012-09-01,2012,R,,hawaii,southern-california,A,10,49,0,,1.0,
2012-09-01,2012,R,,tennessee-martin,memphis,A,20,17,0,,,
2012-09-01,2012,R,,memphis,tennessee-martin,H,17,20,0,,,
2012-09-01,2012,R,,texas,wyoming,H,37,17,0,15.0,,
2012-09-01,2012,R,,wyoming,texas,A,17,37,0,,15.0,
2012-09-01,2012,R,,texas-state,houston,A,30,13,0,,,
2012-09-01,2012,R,,houston,texas-state,H,13,30,0,,,
2012-09-01,2012,R,,texas-tech,northwestern-state,H,44,6,0,,,
2012-09-01,2012,R,,northwestern-state,texas-tech,A,6,44,0,,,
2012-09-01,2012,R,,texas-san-antonio,south-alabama,A,33,31,0,,,
2012-09-01,2012,R,,south-alabama,texas-san-antonio,H,31,33,0,,,
2012-09-01,2012,R,,troy,alabama-birmingham,A,39,29,0,,,
2012-09-01,2012,R,,alabama-birmingham,troy,H,29,39,0,,,
2012-09-01,2012,R,,virginia,richmond,H,43,19,0,,,
2012-09-01,2012,R,,richmond,virginia,A,19,43,0,,,
2012-09-01,2012,R,,wake-forest,liberty,H,20,17,0,,,
2012-09-01,2012,R,,liberty,wake-forest,A,17,20,0,,,
2012-09-01,2012,R,,washington,san-diego-state,H,21,12,0,,,
2012-09-01,2012,R,,san-diego-state,washington,A,12,21,0,,,
2012-09-01,2012,R,,west-virginia,marshall,H,69,34,0,11.0,,
2012-09-01,2012,R,,marshall,west-virginia,A,34,69,0,,11.0,
2012-09-01,2012,R,,western-kentucky,austin-peay,H,49,10,0,,,
2012-09-01,2012,R,,austin-peay,western-kentucky,A,10,49,0,,,
2012-09-01,2012,R,,wisconsin,northern-iowa,H,26,21,0,12.0,,
2012-09-01,2012,R,,northern-iowa,wisconsin,A,21,26,0,,12.0,
2012-09-01,2012,R,,youngstown-state,pittsburgh,A,31,17,0,,,
2012-09-01,2012,R,,pittsburgh,youngstown-state,H,17,31,0,,,
2012-09-02,2012,R,,baylor,southern-methodist,H,59,24,0,,,
2012-09-02,2012,R,,southern-methodist,baylor,A,24,59,0,,,
2012-09-02,2012,R,,louisville,kentucky,H,32,14,0,25.0,,
2012-09-02,2012,R,,kentucky,louisville,A,14,32,0,,25.0,
2012-09-03,2012,R,,virginia-tech,georgia-tech,H,20,17,0,15.0,,
2012-09-03,2012,R,,georgia-tech,virginia-tech,A,17,20,0,,15.0,
2012-09-06,2012,R,,cincinnati,pittsburgh,H,34,10,0,,,
2012-09-06,2012,R,,pittsburgh,cincinnati,A,10,34,0,,,
2012-09-07,2012,R,,utah-state,utah,H,27,20,0,,,
2012-09-07,2012,R,,utah,utah-state,A,20,27,0,,,
2012-09-08,2012,R,,alabama,western-kentucky,H,35,0,0,1.0,,
2012-09-08,2012,R,,western-kentucky,alabama,A,0,35,0,,1.0,
2012-09-08,2012,R,,arizona,oklahoma-state,H,59,38,0,,18.0,
2012-09-08,2012,R,,oklahoma-state,arizona,A,38,59,0,18.0,,
2012-09-08,2012,R,,arizona-state,illinois,H,45,14,0,,,
2012-09-08,2012,R,,illinois,arizona-state,A,14,45,0,,,
2012-09-08,2012,R,,arkansas-state,memphis,H,33,28,0,,,
2012-09-08,2012,R,,memphis,arkansas-state,A,28,33,0,,,
