Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2005-09-01,2005,R,,arizona-state,temple,H,63,16,0,20.0,
2005-09-01,2005,R,,temple,arizona-state,A,16,63,0,,20.0
2005-09-01,2005,R,,cincinnati,eastern-michigan,H,28,26,0,,
2005-09-01,2005,R,,eastern-michigan,cincinnati,A,26,28,0,,
2005-09-01,2005,R,,connecticut,buffalo,H,38,0,0,,
2005-09-01,2005,R,,buffalo,connecticut,A,0,38,0,,
2005-09-01,2005,R,,marshall,william-mary,H,36,24,0,,
2005-09-01,2005,R,,william-mary,marshall,A,24,36,0,,
2005-09-01,2005,R,,minnesota,tulsa,A,41,10,0,,
2005-09-01,2005,R,,tulsa,minnesota,H,10,41,0,,
2005-09-01,2005,R,,northwestern-state,louisiana-monroe,A,27,23,0,,
2005-09-01,2005,R,,louisiana-monroe,northwestern-state,H,23,27,0,,
2005-09-01,2005,R,,oregon,houston,A,38,24,0,,
2005-09-01,2005,R,,houston,oregon,H,24,38,0,,
2005-09-01,2005,R,,south-carolina,central-florida,H,24,15,0,,
2005-09-01,2005,R,,central-florida,south-carolina,A,15,24,0,,
2005-09-01,2005,R,,toledo,western-illinois,H,62,14,0,,
2005-09-01,2005,R,,western-illinois,toledo,A,14,62,0,,
2005-09-01,2005,R,,vanderbilt,wake-forest,A,24,20,0,,
2005-09-01,2005,R,,wake-forest,vanderbilt,H,20,24,0,,
2005-09-01,2005,R,,washington-state,idaho,H,38,26,0,,
2005-09-01,2005,R,,idaho,washington-state,A,26,38,0,,
2005-09-02,2005,R,,indiana,central-michigan,A,20,13,0,,
2005-09-02,2005,R,,central-michigan,indiana,H,13,20,0,,
2005-09-02,2005,R,,utah,arizona,H,27,24,0,,
2005-09-02,2005,R,,arizona,utah,A,24,27,0,,
2005-09-03,2005,R,,air-force,washington,A,20,17,0,,
2005-09-03,2005,R,,washington,air-force,H,17,20,0,,
2005-09-03,2005,R,,alabama,middle-tennessee-state,H,26,7,0,,
2005-09-03,2005,R,,middle-tennessee-state,alabama,A,7,26,0,,
2005-09-03,2005,R,,arkansas,missouri-state,H,49,17,0,,
2005-09-03,2005,R,,missouri-state,arkansas,A,17,49,0,,
2005-09-03,2005,R,,baylor,southern-methodist,A,28,23,0,,
2005-09-03,2005,R,,southern-methodist,baylor,H,23,28,0,,
2005-09-03,2005,R,,boston-college,brigham-young,A,20,3,0,22.0,
2005-09-03,2005,R,,brigham-young,boston-college,H,3,20,0,,22.0
2005-09-03,2005,R,,california,sacramento-state,H,41,3,0,19.0,
2005-09-03,2005,R,,sacramento-state,california,A,3,41,0,,19.0
2005-09-03,2005,R,,clemson,texas-a-m,H,25,24,0,,17.0
2005-09-03,2005,R,,texas-a-m,clemson,A,24,25,0,17.0,
2005-09-03,2005,R,,colorado,colorado-state,H,31,28,0,,
2005-09-03,2005,R,,colorado-state,colorado,A,28,31,0,,
2005-09-03,2005,R,,east-carolina,duke,H,24,21,0,,
2005-09-03,2005,R,,duke,east-carolina,A,21,24,0,,
2005-09-03,2005,R,,florida,wyoming,H,32,14,0,10.0,
2005-09-03,2005,R,,wyoming,florida,A,14,32,0,,10.0
2005-09-03,2005,R,,georgia,boise-state,H,48,13,0,13.0,18.0
2005-09-03,2005,R,,boise-state,georgia,A,13,48,0,18.0,13.0
2005-09-03,2005,R,,georgia-tech,auburn,A,23,14,0,,16.0
2005-09-03,2005,R,,auburn,georgia-tech,H,14,23,0,16.0,
2005-09-03,2005,R,,illinois,rutgers,H,33,30,0,,
2005-09-03,2005,R,,rutgers,illinois,A,30,33,0,,
2005-09-03,2005,R,,iowa,ball-state,H,56,0,0,11.0,
2005-09-03,2005,R,,ball-state,iowa,A,0,56,0,,11.0
2005-09-03,2005,R,,iowa-state,illinois-state,H,32,21,0,,
2005-09-03,2005,R,,illinois-state,iowa-state,A,21,32,0,,
2005-09-03,2005,R,,kansas,florida-atlantic,H,30,19,0,,
2005-09-03,2005,R,,florida-atlantic,kansas,A,19,30,0,,
2005-09-03,2005,R,,kansas-state,florida-international,H,35,21,0,,
2005-09-03,2005,R,,florida-international,kansas-state,A,21,35,0,,
2005-09-03,2005,R,,maryland,navy,N,23,20,0,,
2005-09-03,2005,R,,navy,maryland,N,20,23,0,,
2005-09-03,2005,R,,michigan,northern-illinois,H,33,17,0,4.0,
2005-09-03,2005,R,,northern-illinois,michigan,A,17,33,0,,4.0
2005-09-03,2005,R,,michigan-state,kent-state,H,49,14,0,,
2005-09-03,2005,R,,kent-state,michigan-state,A,14,49,0,,
2005-09-03,2005,R,,mississippi-state,murray-state,H,38,6,0,,
2005-09-03,2005,R,,murray-state,mississippi-state,A,6,38,0,,
2005-09-03,2005,R,,missouri,arkansas-state,H,44,17,0,,
2005-09-03,2005,R,,arkansas-state,missouri,A,17,44,0,,
2005-09-03,2005,R,,nebraska,maine,H,25,7,0,,
2005-09-03,2005,R,,maine,nebraska,A,7,25,0,,
2005-09-03,2005,R,,northwestern,ohio,H,38,14,0,,
2005-09-03,2005,R,,ohio,northwestern,A,14,38,0,,
2005-09-03,2005,R,,notre-dame,pittsburgh,A,42,21,0,,23.0
2005-09-03,2005,R,,pittsburgh,notre-dame,H,21,42,0,23.0,
2005-09-03,2005,R,,ohio-state,miami-oh,H,34,14,0,6.0,
2005-09-03,2005,R,,miami-oh,ohio-state,A,14,34,0,,6.0
2005-09-03,2005,R,,oklahoma-state,montana-state,H,15,10,0,,
2005-09-03,2005,R,,montana-state,oklahoma-state,A,10,15,0,,
2005-09-03,2005,R,,oregon-state,portland-state,H,41,14,0,,
2005-09-03,2005,R,,portland-state,oregon-state,A,14,41,0,,
2005-09-03,2005,R,,penn-state,south-florida,H,23,13,0,,
2005-09-03,2005,R,,south-florida,penn-state,A,13,23,0,,
2005-09-03,2005,R,,san-jose-state,eastern-washington,H,35,24,0,,
2005-09-03,2005,R,,eastern-washington,san-jose-state,A,24,35,0,,
2005-09-03,2005,R,,southern-california,hawaii,A,63,17,0,1.0,
2005-09-03,2005,R,,hawaii,southern-california,H,17,63,0,,1.0
2005-09-03,2005,R,,tennessee,alabama-birmingham,H,17,10,0,3.0,
2005-09-03,2005,R,,alabama-birmingham,tennessee,A,10,17,0,,3.0
2005-09-03,2005,R,,texas,louisiana,H,60,3,0,2.0,
2005-09-03,2005,R,,louisiana,texas,A,3,60,0,,2.0
2005-09-03,2005,R,,texas-christian,oklahoma,A,17,10,0,,7.0
2005-09-03,2005,R,,oklahoma,texas-christian,H,10,17,0,7.0,
2005-09-03,2005,R,,texas-el-paso,new-mexico-state,A,34,17,0,,
2005-09-03,2005,R,,new-mexico-state,texas-el-paso,H,17,34,0,,
2005-09-03,2005,R,,troy,cal-poly,H,27,10,0,,
2005-09-03,2005,R,,cal-poly,troy,A,10,27,0,,
2005-09-03,2005,R,,ucla,san-diego-state,A,44,21,0,,
2005-09-03,2005,R,,san-diego-state,ucla,H,21,44,0,,
2005-09-03,2005,R,,virginia,western-michigan,H,31,19,0,25.0,
2005-09-03,2005,R,,western-michigan,virginia,A,19,31,0,,25.0
2005-09-03,2005,R,,wisconsin,bowling-green,H,56,42,0,,
2005-09-03,2005,R,,bowling-green,wisconsin,A,42,56,0,,
2005-09-04,2005,R,,louisville,kentucky,A,31,24,0,12.0,
2005-09-04,2005,R,,kentucky,louisville,H,24,31,0,,12.0
2005-09-04,2005,R,,virginia-tech,north-carolina-state,A,20,16,0,8.0,
2005-09-04,2005,R,,north-carolina-state,virginia-tech,H,16,20,0,,8.0
2005-09-04,2005,R,,west-virginia,syracuse,A,15,7,0,,
2005-09-04,2005,R,,syracuse,west-virginia,H,7,15,0,,
2005-09-05,2005,R,,florida-state,miami-fl,H,10,7,0,14.0,9.0
2005-09-05,2005,R,,miami-fl,florida-state,A,7,10,0,9.0,14.0
2005-09-05,2005,R,,mississippi,memphis,A,10,6,0,,
2005-09-05,2005,R,,memphis,mississippi,H,6,10,0,,
2005-09-05,2005,R,,new-mexico,nevada-las-vegas,H,24,22,0,,
2005-09-05,2005,R,,nevada-las-vegas,new-mexico,A,22,24,0,,
2005-09-08,2005,R,,oklahoma-state,florida-atlantic,A,23,3,0,,
2005-09-08,2005,R,,florida-atlantic,oklahoma-state,H,3,23,0,,
2005-09-09,2005,R,,ohio,pittsburgh,H,16,10,0,,
2005-09-09,2005,R,,pittsburgh,ohio,A,10,16,0,,
2005-09-09,2005,R,,washington-state,nevada,A,55,21,0,,
2005-09-09,2005,R,,nevada,washington-state,H,21,55,0,,
2005-09-10,2005,R,,air-force,san-diego-state,H,41,29,0,,
2005-09-10,2005,R,,san-diego-state,air-force,A,29,41,0,,
2005-09-10,2005,R,,alabama,southern-mississippi,H,30,21,0,,
2005-09-10,2005,R,,southern-mississippi,alabama,A,21,30,0,,
2005-09-10,2005,R,,alabama-birmingham,troy,A,27,7,0,,
2005-09-10,2005,R,,troy,alabama-birmingham,H,7,27,0,,
2005-09-10,2005,R,,arizona,northern-arizona,H,31,12,0,,
2005-09-10,2005,R,,northern-arizona,arizona,A,12,31,0,,
2005-09-10,2005,R,,arkansas-state,tennessee-martin,H,56,7,0,,
2005-09-10,2005,R,,tennessee-martin,arkansas-state,A,7,56,0,,
2005-09-10,2005,R,,auburn,mississippi-state,H,28,0,0,,
2005-09-10,2005,R,,mississippi-state,auburn,A,0,28,0,,
2005-09-10,2005,R,,baylor,samford,H,48,14,0,,
2005-09-10,2005,R,,samford,baylor,A,14,48,0,,
2005-09-10,2005,R,,boston-college,army,H,44,7,0,19.0,
2005-09-10,2005,R,,army,boston-college,A,7,44,0,,19.0
2005-09-10,2005,R,,bowling-green,ball-state,A,40,31,0,,
2005-09-10,2005,R,,ball-state,bowling-green,H,31,40,0,,
2005-09-10,2005,R,,brigham-young,eastern-illinois,H,45,10,0,,
2005-09-10,2005,R,,eastern-illinois,brigham-young,A,10,45,0,,
2005-09-10,2005,R,,california,washington,A,56,17,0,16.0,
2005-09-10,2005,R,,washington,california,H,17,56,0,,16.0
