source_file,window_title,team_name,dest
sportsref_download (19).xls,1995-96 Buffalo Bulls Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Buffalo,Buffalo.xls
sportsref_download (19).xls,1995-96 Butler Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Butler,Butler.xls
sportsref_download (19).xls,1995-96 Youngstown State Penguins Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Youngstown State,Youngstown_State.xls
sportsref_download (19).xls,1995-96 Yale Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Yale,Yale.xls
sportsref_download (19).xls,1995-96 Xavier Musketeers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Xavier,Xavier.xls
sportsref_download (19).xls,1995-96 Wyoming Cowboys Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Wyoming,Wyoming.xls
sportsref_download (19).xls,1995-96 Wright State Raiders Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Wright State,Wright_State.xls
sportsref_download (19).xls,1995-96 Wofford Terriers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Wofford,Wofford.xls
sportsref_download (19).xls,1995-96 Texas Longhorns Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Texas,Texas.xls
sportsref_download (19).xls,1995-96 Texas A&M Aggies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Texas A&M,Texas_AM.xls
sportsref_download (19).xls,1995-96 Texas Tech Red Raiders Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Texas Tech Red,Texas_Tech_Red.xls
sportsref_download (19).xls,1995-96 Oklahoma Sooners Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Oklahoma,Oklahoma.xls
sportsref_download (19).xls,1995-96 Oklahoma State Cowboys Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Oklahoma State,Oklahoma_State.xls
sportsref_download (19).xls,1995-96 Iowa State Cyclones Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Iowa State,Iowa_State.xls
sportsref_download (19).xls,1995-96 Kansas State Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Kansas State,Kansas_State.xls
sportsref_download (19).xls,1995-96 Kansas Jayhawks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Kansas,Kansas.xls
sportsref_download (19).xls,1995-96 Nebraska Cornhuskers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Nebraska,Nebraska.xls
