Elo Model Accuracy Report
=============================================
Scope: all seasons

All games             n=6883   accuracy=0.656   brier=0.2170   log_loss=0.6232
Regular season        n=6411   accuracy=0.653   brier=0.2178   log_loss=0.6249
Playoffs              n= 472   accuracy=0.695   brier=0.2068   log_loss=0.6007

Baselines for context:
  Coin flip (always 50%):   Brier = 0.2500
  Always pick home team:    58.7% accuracy

By season:
  2007-09               n=   8   accuracy=0.625   brier=0.2298   log_loss=0.6502
  2008-05               n=  31   accuracy=0.613   brier=0.2272   log_loss=0.6490
  2008-06               n=  74   accuracy=0.635   brier=0.2131   log_loss=0.6141
  2008-07               n=  79   accuracy=0.633   brier=0.2339   log_loss=0.6637
  2008-08               n=  14   accuracy=0.571   brier=0.2091   log_loss=0.6069
  2008-09               n=  58   accuracy=0.707   brier=0.1989   log_loss=0.5915
  2008-10               n=   3   accuracy=0.333   brier=0.2858   log_loss=0.7640
  2009-06               n=  55   accuracy=0.636   brier=0.2273   log_loss=0.6509
  2009-07               n=  61   accuracy=0.639   brier=0.2434   log_loss=0.6810
  2009-08               n=  73   accuracy=0.603   brier=0.2340   log_loss=0.6620
  2009-09               n=  49   accuracy=0.653   brier=0.2109   log_loss=0.6107
  2009-10               n=   4   accuracy=0.500   brier=0.2857   log_loss=0.7704
  2010-05               n=  32   accuracy=0.500   brier=0.2548   log_loss=0.7048
  2010-06               n=  57   accuracy=0.702   brier=0.2082   log_loss=0.6050
  2010-07               n=  58   accuracy=0.655   brier=0.2212   log_loss=0.6311
  2010-08               n=  65   accuracy=0.646   brier=0.2291   log_loss=0.6481
  2010-09               n=   8   accuracy=0.875   brier=0.1592   log_loss=0.4979
  2011-06               n=  51   accuracy=0.608   brier=0.2332   log_loss=0.6586
  2011-07               n=  57   accuracy=0.667   brier=0.1987   log_loss=0.5803
  2011-08               n=  69   accuracy=0.681   brier=0.1919   log_loss=0.5670
  2011-09               n=  43   accuracy=0.744   brier=0.1749   log_loss=0.5252
  2011-10               n=   3   accuracy=1.000   brier=0.1358   log_loss=0.4517
  2012-05               n=  22   accuracy=0.682   brier=0.2039   log_loss=0.5930
  2012-06               n=  58   accuracy=0.707   brier=0.1878   log_loss=0.5544
  2012-07               n=  31   accuracy=0.677   brier=0.2259   log_loss=0.6401
  2012-08               n=  39   accuracy=0.692   brier=0.1919   log_loss=0.5670
  2012-09               n=  62   accuracy=0.742   brier=0.1883   log_loss=0.5640
